Date,Open,High,Low,Close,Volume
2020-10-20,2670,2710,2610,2680,16460500
2020-10-21,2690,2700,2650,2650,11127400
2020-10-22,2650,2680,2610,2620,11506900
2020-10-23,2650,2660,2620,2630,12614800
2020-10-26,2620,2660,2610,2640,10766000
2020-10-27,2660,2730,2660,2680,23409900
2020-11-02,2670,2670,2600,2610,13666200
2020-11-03,2630,2640,2570,2590,12552300
2020-11-04,2590,2610,2570,2570,14001800
2020-11-05,2590,2610,2570,2600,17597900
2020-11-06,2630,2720,2610,2720,19748000
2020-11-09,2750,2770,2670,2710,17487800
2020-11-10,2760,2850,2750,2840,34092000
2020-11-11,2860,2920,2840,2860,47925400
2020-11-12,2860,2880,2790,2820,12165300
2020-11-13,2820,2840,2780,2820,15873500
2020-11-16,2850,2890,2830,2850,20094100
2020-11-17,2880,2900,2840,2850,22420600
2020-11-18,2850,2850,2790,2810,24459000
2020-11-19,2810,2910,2790,2910,41721500
2020-11-20,2930,3010,2930,2950,47230200
2020-11-23,2960,2970,2920,2940,31557300
2020-11-24,2960,2990,2930,2930,46258700
2020-11-25,2980,2990,2890,2900,37550100
2020-11-26,2920,2940,2880,2900,34432600
2020-11-27,2920,2930,2890,2900,47401500
2020-11-30,2950,3130,2800,2910,138559100
2020-12-01,2940,3030,2850,2990,60677400
2020-12-02,3050,3090,3010,3070,53472500
2020-12-03,3080,3100,3060,3090,42375400
2020-12-04,3090,3120,3020,3110,35202100
2020-12-07,3140,3430,3130,3400,58986800
2020-12-08,3400,3420,3270,3310,29649900
2020-12-10,3330,3350,3230,3300,32368500
2020-12-11,3350,3350,3320,3320,25227000
2020-12-14,3340,3350,3290,3290,26612200
2020-12-15,3280,3290,3190,3280,29230400
2020-12-16,3300,3320,3270,3280,34801900
2020-12-17,3290,3600,3290,3380,87728500
2020-12-18,3400,3430,3340,3370,33586100
2020-12-21,3380,3550,3380,3540,50857600
2020-12-22,3550,3560,3300,3310,46833300
2020-12-23,3330,3380,3110,3240,26242700
2020-12-28,3240,3360,3170,3310,30344000
2020-12-29,3370,3380,3250,3270,16945400
2020-12-30,3280,3290,3160,3180,15320500
2021-01-04,3200,3280,3060,3270,21822800
2021-01-05,3240,3270,3190,3230,42044400
2021-01-06,3280,3330,3140,3180,33896800
2021-01-07,3220,3420,3210,3410,58899600
2021-01-08,3440,3460,3380,3390,36246600
2021-01-11,3400,3490,3360,3370,47271200
2021-01-12,3370,3400,3270,3310,15786000
2021-01-13,3400,3400,3300,3340,15825200
2021-01-14,3360,3370,3310,3340,17602100
2021-01-15,3330,3330,3210,3260,18890000
2021-01-18,3250,3260,3200,3220,17950900
2021-01-19,3200,3370,3140,3260,31924300
2021-01-20,3270,3330,3220,3320,18495200
2021-01-21,3340,3380,3260,3290,20829300
2021-01-22,3290,3300,3100,3130,27337200
2021-01-25,3130,3130,3010,3050,18077600
2021-01-26,3050,3060,2860,2940,35954000
2021-01-27,2960,3050,2900,2980,31076300
2021-01-28,2980,2980,2780,2810,28290800
2021-01-29,2850,2940,2770,2840,24514300
2021-02-01,2930,3030,2810,3000,25369000
2021-02-02,3050,3240,3020,3240,45878600
2021-02-03,3250,3370,3220,3370,39506800
2021-02-04,3400,3450,3390,3410,27077300
2021-02-05,3410,3540,3410,3500,30432200
2021-02-08,3520,3540,3370,3380,21595800
